# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=643996713
# chain_id=1
# iter=10000
# warmup=5000
# save_warmup=1
# thin=100
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sn_mean_logit_score_prior,sn_sd_log_sd_student_logit_score_prior,sn_student_logit_score_prior.1,sn_student_logit_score_prior.2,sn_student_logit_score_prior.3,sn_student_logit_score_prior.4,sn_student_logit_score_prior.5,sn_student_logit_score_prior.6,sn_student_logit_score_prior.7,sn_student_logit_score_prior.8,sn_student_logit_score_prior.9,sn_student_logit_score_prior.10,sn_student_logit_score_prior.11,sn_student_logit_score_prior.12,sn_student_logit_score_prior.13,sn_sd_log_sd_evaluator_logit_score_prior,sn_evaluator_logit_score_prior.1,sn_evaluator_logit_score_prior.2,sn_evaluator_logit_score_prior.3,sn_evaluator_logit_score_prior.4,sn_evaluator_logit_score_prior.5,sn_evaluator_logit_score_prior.6,sn_evaluator_logit_score_prior.7,sn_evaluator_logit_score_prior.8,sn_evaluator_logit_score_prior.9,sn_evaluator_logit_score_prior.10,sn_evaluator_logit_score_prior.11,sn_evaluator_logit_score_prior.12,sn_sd_log_sd_dimension_logit_score_prior,sn_dimension_logit_score_prior.1,sn_dimension_logit_score_prior.2,sn_dimension_logit_score_prior.3,sn_dimension_logit_score_prior.4,sn_dimension_logit_score_prior.5,sn_dimension_logit_score_prior.6,sn_dimension_logit_score_prior.7,sn_mean__d_logit_score__d_ntest_prior,p_sn_mean_logit_score_prior,p_sn_sd_log_sd_student_logit_score_prior,p_sn_student_logit_score_prior.1,p_sn_student_logit_score_prior.2,p_sn_student_logit_score_prior.3,p_sn_student_logit_score_prior.4,p_sn_student_logit_score_prior.5,p_sn_student_logit_score_prior.6,p_sn_student_logit_score_prior.7,p_sn_student_logit_score_prior.8,p_sn_student_logit_score_prior.9,p_sn_student_logit_score_prior.10,p_sn_student_logit_score_prior.11,p_sn_student_logit_score_prior.12,p_sn_student_logit_score_prior.13,p_sn_sd_log_sd_evaluator_logit_score_prior,p_sn_evaluator_logit_score_prior.1,p_sn_evaluator_logit_score_prior.2,p_sn_evaluator_logit_score_prior.3,p_sn_evaluator_logit_score_prior.4,p_sn_evaluator_logit_score_prior.5,p_sn_evaluator_logit_score_prior.6,p_sn_evaluator_logit_score_prior.7,p_sn_evaluator_logit_score_prior.8,p_sn_evaluator_logit_score_prior.9,p_sn_evaluator_logit_score_prior.10,p_sn_evaluator_logit_score_prior.11,p_sn_evaluator_logit_score_prior.12,p_sn_sd_log_sd_dimension_logit_score_prior,p_sn_dimension_logit_score_prior.1,p_sn_dimension_logit_score_prior.2,p_sn_dimension_logit_score_prior.3,p_sn_dimension_logit_score_prior.4,p_sn_dimension_logit_score_prior.5,p_sn_dimension_logit_score_prior.6,p_sn_dimension_logit_score_prior.7,p_sn_mean__d_logit_score__d_ntest_prior,g_sn_mean_logit_score_prior,g_sn_sd_log_sd_student_logit_score_prior,g_sn_student_logit_score_prior.1,g_sn_student_logit_score_prior.2,g_sn_student_logit_score_prior.3,g_sn_student_logit_score_prior.4,g_sn_student_logit_score_prior.5,g_sn_student_logit_score_prior.6,g_sn_student_logit_score_prior.7,g_sn_student_logit_score_prior.8,g_sn_student_logit_score_prior.9,g_sn_student_logit_score_prior.10,g_sn_student_logit_score_prior.11,g_sn_student_logit_score_prior.12,g_sn_student_logit_score_prior.13,g_sn_sd_log_sd_evaluator_logit_score_prior,g_sn_evaluator_logit_score_prior.1,g_sn_evaluator_logit_score_prior.2,g_sn_evaluator_logit_score_prior.3,g_sn_evaluator_logit_score_prior.4,g_sn_evaluator_logit_score_prior.5,g_sn_evaluator_logit_score_prior.6,g_sn_evaluator_logit_score_prior.7,g_sn_evaluator_logit_score_prior.8,g_sn_evaluator_logit_score_prior.9,g_sn_evaluator_logit_score_prior.10,g_sn_evaluator_logit_score_prior.11,g_sn_evaluator_logit_score_prior.12,g_sn_sd_log_sd_dimension_logit_score_prior,g_sn_dimension_logit_score_prior.1,g_sn_dimension_logit_score_prior.2,g_sn_dimension_logit_score_prior.3,g_sn_dimension_logit_score_prior.4,g_sn_dimension_logit_score_prior.5,g_sn_dimension_logit_score_prior.6,g_sn_dimension_logit_score_prior.7,g_sn_mean__d_logit_score__d_ntest_prior
-9300.69,1,0.015625,4,15,0,22600,0.191437,0.428659,-0.48747,1.00447,-0.369214,0.780366,-1.32127,-0.269126,0.0673433,0.339538,0.627349,0.272447,-0.143425,-0.31568,-0.494795,-0.155336,0.391784,0.194035,-1.13104,-1.77691,-1.93889,1.98692,-1.36703,0.419036,-0.354083,1.60401,-0.48948,1.42047,-0.491121,-0.411272,-0.164259,-0.716645,-1.3231,-0.488843,1.15072,0.00315677,1.04017,34.2628,-46.3486,17.2683,-4.52088,2.89553,-2.00989,21.2396,17.0673,2.28509,6.85919,6.85297,5.4157,1.02449,12.9562,12.1233,-45.0964,9.37418,9.4325,5.55159,4.8249,2.68717,-1.44991,24.2431,7.14259,4.30972,-6.05062,10.0911,0.445693,-119.445,24.479,20.979,26.4521,31.1204,29.2929,-24.5845,13.03,9.04973,-797.752,2547.75,-669.918,666.942,-70.1404,297.646,-1228.57,-622.692,57.9923,149.671,242.766,154.987,92.3537,-463.608,-509.114,3027.39,153.989,-192.108,-150.925,-182.813,-144.758,224.463,-1252.97,19.1948,-125.48,619.714,-377.134,139.359,979.184,-168.949,-179.267,-220.842,-436.157,-290.252,383.701,-95.2286,-158.102
-3139.44,0.968684,0.166456,4,15,0,3162.19,0.427077,-2.43868,0.301677,-0.483861,-0.743872,-0.795918,0.567899,0.833915,-0.231875,-0.374556,0.107996,-0.350213,-1.49,-0.344262,0.430157,-1.87654,-0.251929,0.573777,-0.597832,-0.331033,-1.37207,0.090818,0.729884,0.286766,0.648439,-0.46909,-0.0176376,0.195572,-1.70529,-0.329649,0.248982,-0.412131,-0.48438,0.122905,-0.460996,0.0359872,0.0786305,-0.886869,-1.25147,2.6573,-2.12516,1.3608,-1.63082,0.843298,-1.75242,-1.56937,-2.88884,4.13865,-1.04081,2.39566,3.45363,-1.09115,2.20144,-4.0327,-4.12069,-0.217553,-2.20715,1.37094,5.09374,-0.68632,4.01325,0.949408,-2.71676,-1.05158,0.544063,2.31924,3.54956,3.27254,-5.59312,3.15381,-1.5678,0.979631,1.35109,-0.749752,-34.1837,-5.78182,2.17277,-4.4523,-0.286984,-3.51193,6.11091,-7.90789,1.17745,2.66404,-5.68806,2.00155,0.547034,-5.35662,-1.34477,-16.2042,-3.3423,-1.31541,-4.43272,6.11896,3.56341,-0.737517,-9.15999,-6.56335,-1.66244,1.93868,7.08959,-8.69794,2.5801,-10.7119,5.89039,2.72423,-16.3204,-8.30744,8.07325,-1.41721,-12.1089
-3151.46,0.979775,0.070227,5,31,0,3166.48,0.34502,-2.09328,0.0547494,0.0172255,-0.344367,0.0720647,0.820877,1.47282,-0.137737,-0.280426,0.378832,-0.332733,-1.38901,0.291587,1.035,-1.87427,-0.457627,0.440875,-0.86917,-1.52389,-1.96698,-0.0577594,0.702886,0.33853,0.418137,-0.677097,-0.219994,0.7483,-2.18088,0.0475474,0.250592,-0.781161,-0.507424,0.563108,-0.901955,0.333589,0.0637439,-2.7341,0.339577,1.87414,-5.96482,1.31146,2.05652,-0.520861,-1.5478,-1.30085,0.66527,2.12344,-1.58014,0.522206,-2.87171,1.56409,-1.06202,2.45687,4.13431,0.535796,-1.61589,-0.99818,5.09927,-2.03112,1.74592,4.42174,2.00757,-3.87736,-0.356063,-1.9515,3.44313,-1.77133,-3.84249,-1.57737,0.350534,-1.22931,2.82475,-7.37959,-30.0405,20.0271,-15.6469,-0.7618,1.12319,4.94391,10.7568,8.62008,-0.961384,-6.46936,-6.69651,-10.5161,-5.42241,4.27997,5.8033,17.2717,-8.0439,0.706228,-5.99807,-10.6506,-3.07881,-1.48885,0.522337,7.07838,-4.16063,-2.08339,4.35947,5.0414,19.1572,12.4561,-5.62891,-13.8311,-8.56376,7.8905,-12.8793,7.69736,-5.14738
-3148.38,0.964521,0.109046,4,31,0,3168.86,0.148834,-2.67906,0.418873,-0.213332,-0.70997,-0.15498,0.736456,1.48825,0.127372,-0.178477,1.11582,0.0467478,-1.76327,-0.0711857,0.728654,-1.7716,-0.218125,0.488538,-0.161897,-0.751219,-1.43899,0.074967,0.57578,0.246699,1.11036,-0.480613,-0.216674,0.443855,-2.98145,0.672473,1.16363,-0.581441,-0.158456,1.78684,-0.636538,1.0535,0.00280759,-5.36485,-0.871001,-1.0805,-0.861315,2.77094,2.40919,-2.79443,7.74403,-1.65646,2.90343,-5.41392,1.81586,0.891612,1.27683,-2.44956,2.76412,-9.034,0.571864,-2.80669,-1.53834,0.179989,-1.83583,-2.09317,-0.0509941,0.951512,-0.2652,6.52339,-1.9986,-1.04796,0.520391,-2.27651,7.98283,2.08077,0.00345268,-2.94007,-2.35419,-2.02417,-56.9758,-7.01137,-3.73549,-4.70221,-1.31701,0.952024,-0.371798,-4.76469,2.03237,0.404278,6.25599,2.29186,-2.38478,-5.40946,-3.47082,-8.58435,-0.665018,-3.94583,3.06004,-1.51626,1.30529,-0.887628,-19.0162,-8.01161,9.84936,-0.135443,-7.06053,-2.92259,7.18254,4.88598,-2.81821,-8.2316,-5.66566,6.71916,-5.01413,0.619627,-21.4049
-3141.97,0.942626,0.0728921,6,95,0,3161.99,0.076687,-2.51111,0.206582,0.261076,-1.1302,-0.378431,0.342035,1.42568,0.0215846,-0.590977,0.599204,-0.601973,-1.67501,-0.022424,0.953954,-1.73279,0.244082,0.75742,-0.104466,-0.354201,-1.25654,0.521115,1.06807,0.715915,1.16847,-0.0980854,0.569464,1.16491,-1.82121,-0.0314605,0.424729,-0.330596,-0.304135,0.492434,-0.500517,0.144618,0.00548651,1.21922,4.96551,0.476287,0.177067,3.25337,-2.98141,4.21796,3.13414,-0.449173,4.0937,-0.282863,-4.7145,-1.32739,6.048,1.62413,-1.10051,5.88394,-3.70884,0.583799,-0.266433,2.6691,-3.70796,-2.76578,2.91013,-3.22667,0.13984,-0.47214,1.80451,-0.428293,-0.99195,-5.46409,-0.0818921,-2.23387,-2.53844,-3.46043,-0.782226,-6.54076,-37.9618,4.58972,-4.21284,8.88843,-4.6563,0.434832,-3.79068,0.0228612,2.94424,-5.14148,1.8189,-7.71965,-1.57847,-1.41771,2.00597,-7.89888,1.69927,-13.9735,-3.63333,-1.85892,-3.40005,-0.724017,-11.9428,-4.75169,1.62681,-5.07026,21.915,4.24881,5.72966,2.00465,3.03884,-3.03595,-11.8058,6.29952,-7.95471,-7.70786,-12.6857
-3144.85,0.181986,0.168343,4,15,0,3164.61,0.307147,-2.41901,0.264511,-0.680637,-1.22048,-0.547602,0.131927,1.33035,-0.244484,-0.320351,-0.0616953,0.00988015,-1.8077,-0.22912,0.440986,-1.96143,0.0903561,0.822599,-0.259436,-0.610974,-1.31155,0.636642,1.08156,0.613646,1.18093,-0.274818,0.0329347,0.708295,-2.95381,-0.194811,0.478694,-1.17327,-0.740979,0.867073,-1.06324,0.0912474,-0.055255,-7.31627,1.89553,2.58363,2.1377,0.821037,1.30525,1.55496,3.22867,-2.82162,-2.71891,0.830647,-0.919163,-1.11276,-5.68059,0.801002,-0.0428695,2.76374,-1.85232,-2.07631,-1.19968,-2.20835,1.96559,0.167255,-2.04634,3.15702,-3.05289,-0.43336,5.64957,3.71525,-1.05352,-1.20466,-2.80172,-3.42897,4.11298,1.44391,2.13339,6.73366,-24.9187,5.78158,2.02694,-9.99738,-4.71628,0.147942,-4.28397,3.70666,2.22433,5.14722,-8.87685,9.94717,-2.36719,-2.05789,-2.18553,-12.1009,5.03453,-3.16737,-1.79981,-1.24645,2.26072,4.37771,-4.67909,-2.96097,2.48855,-0.404982,-4.74312,-3.9166,1.80904,2.64296,-1.83639,-6.05043,-3.17753,3.96499,0.229493,-3.27228,-8.79062
-3144.14,0.958205,0.129916,5,47,0,3167.76,0.394546,-3.09958,0.446279,-0.317222,-0.912633,-0.715779,0.568478,1.82297,0.00324185,-0.451476,0.582958,-0.713084,-1.78757,-0.131527,0.536469,-2.29737,-0.671244,0.260154,-0.814275,-1.58118,-2.00288,-0.283456,0.671457,0.178637,0.190646,-0.943679,-0.588906,0.11962,-1.9269,-0.0621903,0.406601,-0.20069,-0.247952,0.439814,-0.456322,0.0364999,0.273897,-2.94086,-6.14172,-4.76734,1.41573,-0.268458,-1.11185,-4.68795,1.6651,-1.0519,2.00709,4.54874,0.435746,-0.0225213,-2.02656,-0.522638,-3.94444,8.131,3.32869,5.00038,-0.0495619,-1.69049,1.17502,-2.73543,2.68628,-2.7139,-2.0356,-4.37656,4.64218,2.75985,0.299336,1.08689,1.48457,4.332,0.906788,0.525153,4.66236,4.96989,11.2701,-12.7047,-0.0757397,0.922522,0.0605196,-0.406749,-0.0637557,0.367226,1.91232,1.03941,-1.02485,-0.514966,1.67647,-0.884602,-1.83057,-14.964,1.33853,-4.17145,-0.507172,-3.37607,3.51776,0.0433729,-0.970038,4.31253,-3.61648,5.40502,-0.921818,-2.60253,-2.87185,2.6943,2.36305,11.1175,-2.45738,2.69546,1.27613,-12.7098,9.3021
-3140.91,0.940536,0.0818739,7,127,0,3157.97,-0.0476212,-1.95579,0.608334,0.286525,-0.392734,-0.31847,0.695095,1.39003,0.264816,0.0971399,0.638703,-0.0387787,-0.567053,0.254909,0.884113,-1.92324,0.0235501,0.820802,-0.612725,-0.384796,-1.67588,0.427222,1.10193,0.489732,0.672686,-0.254102,-0.0887515,0.897699,-3.02741,-0.0619888,1.16983,-0.191532,0.351992,1.23985,-0.149164,1.05033,0.0236199,-5.20407,6.00722,-0.922919,-2.59914,2.19221,0.2118,-0.499268,-2.62315,-2.81548,-3.97358,4.45924,-2.70286,-0.519265,1.84112,1.8454,0.128838,5.27929,0.667906,1.81918,1.36212,-1.93564,4.82423,2.40518,4.44118,-0.272086,3.29258,1.01693,0.838469,-0.957816,0.0286337,3.66616,-1.93762,-2.94289,2.72448,-1.78764,1.47914,0.878851,-3.96846,2.98448,1.80052,4.15366,-4.19069,-6.43369,2.08647,4.6224,3.74795,1.95055,-0.859248,-7.39927,4.94096,-3.27554,0.869267,0.957307,6.25467,3.48274,-6.25917,3.23529,-2.52691,2.10667,5.03257,-4.97346,-5.28518,4.52566,-7.48662,1.48096,-6.62331,-6.06179,-1.67168,0.400902,4.60543,-1.47581,5.19228,1.56865,-4.07444
-3147.83,0.979657,0.0686561,6,63,0,3165.89,0.0710599,-2.97821,0.316431,-0.621999,-0.724389,-0.266989,0.788032,1.20956,-0.717942,-0.462745,0.507878,-0.446454,-2.19846,-0.0763215,0.233256,-1.83397,0.197681,0.71623,0.196039,-0.296883,-0.893697,0.0072177,1.12177,0.778916,1.03316,-0.137134,0.386552,1.02222,-2.20016,-0.143881,0.434619,-0.380546,-0.443255,0.210325,-0.688363,0.0188669,0.424303,4.02259,-3.89441,-0.629785,2.09471,-0.652223,-2.17319,-1.24633,3.17643,4.5837,1.27657,-3.48602,-3.30344,-1.32453,-1.67933,-4.74444,-0.7763,-5.56858,2.40854,-0.76607,0.470841,-1.58956,2.5988,-3.16232,-3.14948,1.18597,0.482884,1.24596,-3.47977,-3.18718,2.58555,1.52885,-0.551386,-5.50872,0.924711,-1.87077,-0.824926,-1.37414,-46.8275,-10.8016,-1.82423,-2.85855,0.557228,1.77676,2.81357,-5.08336,-2.89435,-0.103948,-2.41208,2.97956,-1.27224,-0.942858,-3.73182,-18.1381,0.64027,-18.3272,1.84056,-0.496575,4.1779,-10.2128,-7.40864,2.26755,-0.217152,-0.915827,7.33582,2.15997,-2.06862,1.76879,2.23727,5.24476,-6.31173,-10.2136,-2.98335,-8.80194,0.591584
-3147.2,0.926679,0.0601624,5,31,0,3167.48,0.151306,-2.02283,0.582324,-0.197702,-0.0603103,-0.272372,0.814675,1.3196,0.293651,-0.171236,0.589767,0.162105,-1.0859,0.011598,0.509332,-2.38264,0.0210203,0.778426,-0.355828,-0.728372,-1.8417,0.0823964,1.33079,0.846345,0.786997,-0.602707,-0.207298,1.10926,-2.70185,-0.471248,0.938889,-0.329113,-0.282823,0.66586,-0.604817,0.311726,0.0737545,4.07798,1.8394,-1.76535,-5.17483,0.456024,0.458543,-3.12013,1.68598,0.690228,0.308834,4.8786,-2.82137,-1.01342,1.42504,-0.18579,2.44426,1.77287,-3.09148,1.6138,-1.90012,4.91345,-3.16063,-0.956139,-1.60883,2.18347,1.4274,1.73877,3.7686,4.24659,4.69452,0.905438,0.814021,-1.93058,2.40474,-1.24966,0.371399,-2.10728,61.7756,17.3998,7.39618,-9.29395,5.56668,-2.02703,13.7605,7.02808,6.63493,-1.83983,3.53781,10.6019,-1.85077,-6.1644,-4.00879,-4.67192,11.6448,-3.16083,0.306302,1.38495,2.04884,-1.47073,3.82397,9.22415,-2.65996,1.50727,-3.03974,2.53026,-0.925664,-6.95865,8.30068,7.37342,2.64664,0.568777,5.55826,-0.493097,16.2179
